violation_cents,detected,guaranteed_cents,capital_cents,roc,scan_ms
0,False,0,0,0.0,0.079
2,True,149,20051,0.00743105082040796,6.459
4,True,727,49273,0.014754530878980375,4.76
6,True,1676,48324,0.03468255939077891,7.693
8,True,2628,47372,0.05547580849446931,6.529
10,True,3582,46418,0.07716833986815459,6.986
12,True,4539,45461,0.09984382217725082,7.514
14,True,5499,44501,0.12357025684816071,10.82
16,True,6463,43537,0.14844844614925237,19.255
18,True,7427,42573,0.17445329199257745,15.292
20,True,8396,41604,0.2018075185078358,16.775
22,True,9368,40632,0.23055719629848395,14.932
24,True,10341,39659,0.26074787563982954,12.177
26,True,11318,38682,0.2925908691381004,14.648
28,True,12297,37703,0.32615441742036444,11.067
30,True,13280,36720,0.3616557734204793,13.797
32,True,14265,35735,0.39918847068700153,28.636
34,True,15253,34747,0.4389731487610441,18.769
36,True,16244,33756,0.48121815380969307,17.86
38,True,17238,32762,0.5261583541908308,17.252
40,True,18234,31766,0.5740099477428697,19.059
